,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,SrXung,,,172,16,408,2240,"แจกโค้ด!! ไปล่าผีกัน
จำกัดแค่ 1,000 คนเท่านั้น

ตามไปตรงนี้นะ : https://t.co/kQIcAZWQ6E

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/eFU1MZG415",['สล็อตเครดิตฟรี']
1,SrXung,,,172,16,408,2179,"ด่วนเลย!! พี่ขอเขามาได้แค่ 1,000 คน
ใครช้าไม่ทันอย้าหาว่าไม่เตือน

โค้ด : VJ2D-D6D0-DFT6
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/uhWImvcvHq",[]
2,sky43604221,,,76,6,347,2240,"แจกโค้ด!! ไปล่าผีกัน
จำกัดแค่ 1,000 คนเท่านั้น

ตามไปตรงนี้นะ : https://t.co/kQIcAZWQ6E

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/eFU1MZG415",['สล็อตเครดิตฟรี']
3,sky43604221,,,76,6,347,2179,"ด่วนเลย!! พี่ขอเขามาได้แค่ 1,000 คน
ใครช้าไม่ทันอย้าหาว่าไม่เตือน

โค้ด : VJ2D-D6D0-DFT6
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/uhWImvcvHq",[]
4,WThanprasert,,,203,35,7647,4,"""ไอ้​เหี้ย​วิษณุ​ เครือ​งาม"" พูด​ถึง​การ​ถอนกฎหมา​_ขายชาติ​ขาย​แผ่นดิน​ไว้​แบบนี้​ Cr.เมือง​ไทย​ใน​กะลา​ 😲😲😲😲😲 #ประยุทธ์ขายชาติ #ประยุทธ์ออกไป #รัฐบาลขายชาติ​ #รัฐบาลเผด็จการตัวจริง https://t.co/9MwTfbcQ4u",[]
5,stopcredulity2,"รื้อทิ้งทัศนะเผด็จการ ปลูกฝังวัฒนธรรมประชาธิปไตย เปลี่ยนดินในฟาร์มต้นเผด็จการ ให้กลายเป็นดินสำหรับต้นประชาธิปไตย
งดด่าแบ่งแยกประชาชน",,202,1291,41810,0,"การเรียกเถ้าที่เกิดจากการเผาศพว่า “อังคาร” มาจากคำภาษาบาลี-สันสกฤตว่า องฺคาร อ่านว่า อัง-คา-ระ แปลว่า “ถ่าน” หมายรวมทั้งถ่านที่ติดและไม่ติดไฟ จึงเรียกเถ้าถ่านและเถ้ากระดูกหลังการเผาศพว่า อังคาร
https://t.co/Pebt530tBn
#ลอยอังคาร ลอย #ประยุทธ์ ไปดาวอังคาร #ประยุทธ์ออกไป #ลอยกระทง","['ลอยอังคาร', 'ประยุทธ์', 'ประยุทธ์ออกไป', 'ลอยกระทง']"
6,gooddevil2006,ผู้ที่ไม่รู้จักความเมตตาปราณี อย่ามาอ้างความดีที่ตนทำ,,409,94,68873,4,"""ไอ้​เหี้ย​วิษณุ​ เครือ​งาม"" พูด​ถึง​การ​ถอนกฎหมา​_ขายชาติ​ขาย​แผ่นดิน​ไว้​แบบนี้​ Cr.เมือง​ไทย​ใน​กะลา​ 😲😲😲😲😲 #ประยุทธ์ขายชาติ #ประยุทธ์ออกไป #รัฐบาลขายชาติ​ #รัฐบาลเผด็จการตัวจริง https://t.co/9MwTfbcQ4u",[]
7,hnr95728742,,,200,23,339,2240,"แจกโค้ด!! ไปล่าผีกัน
จำกัดแค่ 1,000 คนเท่านั้น

ตามไปตรงนี้นะ : https://t.co/kQIcAZWQ6E

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/eFU1MZG415",['สล็อตเครดิตฟรี']
8,hnr95728742,,,200,23,339,2179,"ด่วนเลย!! พี่ขอเขามาได้แค่ 1,000 คน
ใครช้าไม่ทันอย้าหาว่าไม่เตือน

โค้ด : VJ2D-D6D0-DFT6
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/uhWImvcvHq",[]
9,chida_chidada,“มันเป็นเกมส์เดิมพันชีวิตหลังความตาย”,,260,692,7025,3,"ขอให้ทุกคนเที่ยวงานลอยกระทงกันอย่างมีความสุขนะคะ อุบัติเหตุเกิดขึ้นได้ทุกเมื่อ 
🏵 เอาคนไม่ดีออกไป
💮 เอาความยุติธรรมคืนมา
#ประยุทธ์ออกไป
#แตงโมต้องได้รับความยุติธรรม https://t.co/Rd2y1w3ImO",[]
10,deepsleep29s,dm24/7,,22,4,160,3,"Vessเขียว-แดง
คอตตอนละ230฿
ปลายทาง+60
ส่ง3-5วัน Dm.ได้เลยครับ #บุหรี่ไฟฟ้าราคาถูก #บุหรี่ต่างประเทศ #บุหรี่นอก #บุหรี่vess #บุหรี่เกาหลี #บุหรี่นอก #ยกเลิกเกณฑ์ทหาร #สุราก้าวหน้า #หยางหยาง #Halloween #งานออนไลน์ #ประยุทธ์ออกไป https://t.co/WIvLED29eh","['บุหรี่ไฟฟ้าราคาถูก', 'บุหรี่ต่างประเทศ', 'บุหรี่นอก', 'บุหรี่vess']"
11,mr30670859,,,9,1,32,7705,"ใครว่ามันแกล้งโง่ กุว่ามันโง่จริงแล้วล่ะ
#ประยุทธ์ออกไป
#รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน https://t.co/100WbtHE2a","['ประยุทธ์ออกไป', 'รัฐบาลส้นตีนคนเชียร์ก็ส้นตีน']"
12,mr30670859,,,9,1,32,6288,ชาติที่แล้วกูไปทำเวรทำกรรมอะไรไว้ ถึงต้องเกิดมาในยุคนี้ #ประยุทธ์ออกไป https://t.co/EdXgmO9jUN,['ประยุทธ์ออกไป']
