,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,BeeJun01,อยากลองหาประสบการณ์ใหม่ ต้องทำไง🤔,,348,95,2310,2315,"แจกโค้ด!! ไปล่าผีกัน
จำกัดแค่ 1,000 คนเท่านั้น

ตามไปตรงนี้นะ : https://t.co/kQIcAZWQ6E

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/eFU1MZG415",['สล็อตเครดิตฟรี']
1,BeeJun01,อยากลองหาประสบการณ์ใหม่ ต้องทำไง🤔,,348,95,2310,2273,"ด่วนเลย!! พี่ขอเขามาได้แค่ 1,000 คน
ใครช้าไม่ทันอย้าหาว่าไม่เตือน

โค้ด : VJ2D-D6D0-DFT6
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/uhWImvcvHq",[]
2,PCock45555111,Equality,Thailand,56,1771,385776,4,"ลอยกระทง​ปี​นี้​ ""ดิ๊ก​ตู่​ เผด็จการ​อัปรีย์​จัญไร"" จะลอยไปตายโหง​ตา​ยห่า​ที่ไหน​ก็​ไป​😡😡😡😡😡 Cr.เจ้าของ​คลิป​ #ประยุทธ์ขายชาติ #ประยุทธ์ออกไป #รัฐบาลเผด็จการตัวจริง #รัฐบาลขายชาติ https://t.co/yYeUUgB7GN",[]
3,SiriphonTongsuk,,,38,14,295,1660,"เมื่อวานมีคนบอกว่าโค้ดใช้ไม่ได้ วันนี้เอาไปใหม่
จำกัดแค่ 1,000 คนเท่านั้น

โค้ดฟรี : E1HE-RLFC-F2H7
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน",[]
4,SiriphonTongsuk,,,38,14,295,2315,"แจกโค้ด!! ไปล่าผีกัน
จำกัดแค่ 1,000 คนเท่านั้น

ตามไปตรงนี้นะ : https://t.co/kQIcAZWQ6E

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/eFU1MZG415",['สล็อตเครดิตฟรี']
5,SiriphonTongsuk,,,38,14,295,2273,"ด่วนเลย!! พี่ขอเขามาได้แค่ 1,000 คน
ใครช้าไม่ทันอย้าหาว่าไม่เตือน

โค้ด : VJ2D-D6D0-DFT6
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/uhWImvcvHq",[]
6,TOMMY09313581,,,73,11,279,1660,"เมื่อวานมีคนบอกว่าโค้ดใช้ไม่ได้ วันนี้เอาไปใหม่
จำกัดแค่ 1,000 คนเท่านั้น

โค้ดฟรี : E1HE-RLFC-F2H7
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน",[]
7,siri_xom,,,4,1,11,1660,"เมื่อวานมีคนบอกว่าโค้ดใช้ไม่ได้ วันนี้เอาไปใหม่
จำกัดแค่ 1,000 คนเท่านั้น

โค้ดฟรี : E1HE-RLFC-F2H7
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน",[]
8,siri_xom,,,4,1,11,2315,"แจกโค้ด!! ไปล่าผีกัน
จำกัดแค่ 1,000 คนเท่านั้น

ตามไปตรงนี้นะ : https://t.co/kQIcAZWQ6E

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน #อิแทนวอน https://t.co/eFU1MZG415",['สล็อตเครดิตฟรี']
9,phwinmngkhlhnw1,โสด..นะจีบด้ายนะค๊าบบ,,127,9,240,1660,"เมื่อวานมีคนบอกว่าโค้ดใช้ไม่ได้ วันนี้เอาไปใหม่
จำกัดแค่ 1,000 คนเท่านั้น

โค้ดฟรี : E1HE-RLFC-F2H7
ตามไปตรงนี้นะ : https://t.co/kQIcB0eZkM

#สล็อตเครดิตฟรี #เครดิตฟรีกดรับเอง #MissGrandInternational2022 #ประยุทธ์ออกไป #ฮาโลวีน",[]
